ID,CompPre,VisualsPre,WritingPre,PresPre,StatsPre,ReadPre,CritiquePre,PartPre,ConBecPre,PrepPre,ConNavPre,ContactPre,CompPost,VisualsPost,WritingPost,PresPost,StatsPost,ReadPost,CritiquePost,PartPost,ConBecPost,PrepPost,ConNavPost,ContactPost,Comp,Visuals,Writing,Pres,Stats,Read,Critique,Part,ConBec,Prep,ConNav,Contact
54,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,5,5,5,1,0,-1,-1,0,0,0,0,1,1,1,1
55,2,3,2,2,3,3,2,2,5,3,4,3,4,4,4,4,4,4,4,4,5,5,5,5,2,1,2,2,1,1,2,2,0,2,1,2
56,1,3,3,3,3,3,3,3,5,4,5,5,3,4,4,4,4,4,4,4,5,5,5,5,2,1,1,1,1,1,1,1,0,1,0,0
57,1,2,3,3,2,3,3,3,4,3,4,1,3,4,4,4,3,4,3,4,3,3,3,2,2,2,1,1,1,1,0,1,-1,0,-1,1
58,1,2,2,2,2,2,2,2,1,2,1,1,2,3,3,3,3,3,3,3,5,2,3,2,1,1,1,1,1,1,1,1,4,0,2,1
59,1,3,3,4,3,3,3,3,4,3,3,4,NaN,3,3,3,3,2,2,2,3,3,3,4,NaN,0,0,-1,0,-1,-1,-1,-1,0,0,0
60,1,4,4,4,2,4,4,3,4,5,4,5,1,3,4,4,2,3,3,3,5,5,5,5,0,-1,0,0,0,-1,-1,0,1,0,1,0
61,1,1,2,2,1,2,2,2,2,3,4,3,2,2,1,3,3,2,1,2,3,4,5,3,1,1,-1,1,2,0,-1,0,1,1,1,0
62,2,2,2,2,1,3,3,3,4,3,2,1,3,3,3,NaN,3,4,4,4,4,3,4,4,1,1,1,NaN,2,1,1,1,0,0,2,3
63,1,2,2,2,2,2,2,2,3,2,2,2,1,3,3,2,2,3,3,2,2,2,3,3,0,1,1,0,0,1,1,0,-1,0,1,1
64,1,3,2,3,2,3,3,3,3,3,4,2,4,4,2,3,4,3,3,4,5,4,5,3,3,1,0,0,2,0,0,1,2,1,1,1
65,2,2,1,3,3,3,2,2,3,3,4,5,1,3,1,3,3,3,2,3,3,3,4,4,-1,1,0,0,0,0,0,1,0,0,0,-1
66,2,3,1,1,3,2,2,2,3,3,4,2,4,3,3,NaN,4,4,NaN,3,4,5,5,5,2,0,2,NaN,1,2,NaN,1,1,2,1,3
67,1,4,4,4,4,4,4,4,3,3,5,4,NaN,1,1,1,NaN,1,1,1,4,4,5,4,NaN,-3,-3,-3,NaN,-3,-3,-3,1,1,0,0
68,2,4,4,4,3,4,3,3,4,2,5,1,3,3,4,4,3,3,3,4,3,3,4,2,1,-1,0,0,0,-1,0,1,-1,1,-1,1
69,1,4,4,4,4,4,2,4,3,5,5,4,2,4,4,4,4,4,4,4,5,5,5,3,1,0,0,0,0,0,2,0,2,0,0,-1
70,2,3,2,4,4,4,3,3,4,2,3,4,NaN,4,3,4,4,3,3,4,4,3,4,2,NaN,1,1,0,0,-1,0,1,0,1,1,-2
71,2,2,1,1,2,2,1,2,3,3,3,3,2,2,NaN,NaN,NaN,3,3,3,4,4,4,4,0,0,NaN,NaN,NaN,1,2,1,1,1,1,1
72,2,3,3,2,1,3,2,2,4,2,4,2,1,2,2,3,1,3,3,3,4,3,5,3,-1,-1,-1,1,0,0,1,1,0,1,1,1
73,3,2,3,2,2,3,2,2,4,4,3,3,3,3,NaN,3,3,3,3,3,5,4,4,4,0,1,NaN,1,1,0,1,1,1,0,1,1
74,1,3,3,3,2,3,2,2,4,3,4,3,NaN,3,4,3,3,4,4,3,3,4,4,4,NaN,0,1,0,1,1,2,1,-1,1,0,1
75,2,3,3,3,2,4,3,4,5,4,5,5,4,4,NaN,NaN,4,NaN,NaN,4,5,5,5,5,2,1,NaN,NaN,2,NaN,NaN,0,0,1,0,0
76,1,2,3,3,2,4,3,3,3,3,4,4,NaN,3,3,NaN,3,4,4,4,4,3,5,4,NaN,1,0,NaN,1,0,1,1,1,0,1,0
77,1,2,3,3,2,3,3,3,5,4,4,5,2,3,NaN,3,2,4,3,3,5,4,5,5,1,1,NaN,0,0,1,0,0,0,0,1,0
78,1,2,2,1,2,1,1,1,3,2,4,2,2,3,3,2,3,2,2,2,3,2,4,3,1,1,1,1,1,1,1,1,0,0,0,1
79,3,2,2,3,1,3,1,3,4,2,5,4,3,3,3,2,3,4,4,2,4,4,4,3,0,1,1,-1,2,1,3,-1,0,2,-1,-1
80,1,2,1,3,3,1,1,2,3,3,5,3,NaN,4,3,3,4,3,3,3,4,4,5,5,NaN,2,2,0,1,2,2,1,1,1,0,2
81,2,2,2,3,3,3,2,3,5,3,4,3,NaN,3,3,4,3,4,2,4,4,4,5,5,NaN,1,1,1,0,1,0,1,-1,1,1,2
82,2,3,3,3,2,4,3,3,4,3,5,1,3,4,3,3,3,4,3,3,3,3,4,3,1,1,0,0,1,0,0,0,-1,0,-1,2
83,1,2,3,2,2,3,3,2,5,3,4,3,NaN,NaN,3,NaN,NaN,4,3,4,4,3,4,3,NaN,NaN,0,NaN,NaN,1,0,2,-1,0,0,0
84,2,3,1,3,4,3,3,4,4,3,3,2,3,2,3,2,3,3,4,4,4,3,5,3,1,-1,2,-1,-1,0,1,0,0,0,2,1
85,1,3,3,3,2,3,3,4,5,5,5,3,3,4,4,3,3,4,4,4,5,5,5,5,2,1,1,0,1,1,1,0,0,0,0,2
